        19.76      6235      100       100       25.1
        17.85     46230    43.67     84.53      19.23
        19.96      7360    65.51     81.57      21.42
         16.8     28715    45.16     93.33      18.11
         18.2     21934     49.2     83.07      19.24
        16.71      1337    74.84     94.99      19.31
        18.81     17881    70.66     92.34      20.07
        20.74      2319    63.93     95.08      24.35
        16.56     18040    14.45     61.24       17.6
        18.55      1147    68.58      97.9      20.13
         17.4      2176    53.33      97.5       18.4
        17.62     13267    25.16     56.86      18.96
        21.24      3581    35.76     63.58      25.75
        18.23     15104    47.72     95.29       19.4
        16.86     47009    17.21       100      18.64
        17.45     10139    43.15      89.4       19.1
        17.66      6147    67.73     92.54         20
         18.3     23089    33.27     67.53      19.31
        16.58     20550    26.61     98.32      20.49
        17.51      9450    61.35     86.72      17.07
        21.17      1028      100       100      20.61
        16.92      3848     5.35     65.58      15.73
        16.96     15656    20.53     93.72       18.7
        18.24      7725    50.59     96.63      18.99

